Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Category),Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Verify raw tables in Athena, row counts",HAPB-11,10081,Task,In Review,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:55,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i00047:,,,,10075,HAPB-8,ETL and Data Quality,In Progress,12/31/2025 21:33
Create Glue crawler and run it,HAPB-10,10079,Task,In Review,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:54,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003z:,,,,10075,HAPB-8,ETL and Data Quality,In Progress,12/31/2025 21:33
Create Glue database healthcare_raw,HAPB-9,10077,Task,In Review,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:54,12/31/2025 21:33,,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003r:,,,,10075,HAPB-8,ETL and Data Quality,In Progress,12/31/2025 21:33
ETL and Data Quality,HAPB-8,10075,Epic,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:47,12/28/2025 18:47,12/28/2025 18:47,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,orange,0|i0003j:,,,,,,,To Do,12/28/2025 18:47
Validate row counts in Athena,HAPB-7,10074,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:45,12/28/2025 22:07,12/28/2025 22:06,12/28/2025 22:07,,0,"dim_patient = 3000
fact_encounter = 12000
fact_claim_line = 40000+",,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003b:,,,,10062,HAPB-1,Data Ingestion,Done,12/28/2025 22:07
Run Glue crawler on S3 raw,HAPB-6,10072,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:45,12/31/2025 21:33,,12/31/2025 21:33,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003i:r,,,,10062,HAPB-1,Data Ingestion,Done,12/31/2025 21:33
Create Glue database healthcare_raw,HAPB-5,10070,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:44,12/31/2025 21:33,12/31/2025 21:34,12/31/2025 21:33,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003i:i,,,,10062,HAPB-1,Data Ingestion,Done,12/31/2025 21:33
Set Athena query results location,HAPB-4,10068,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:44,12/31/2025 21:32,12/28/2025 19:34,12/31/2025 21:32,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003i:,,,,10062,HAPB-1,Data Ingestion,Done,12/31/2025 21:32
Upload raw CSVs to S3 raw,HAPB-3,10066,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:44,12/31/2025 21:32,,12/31/2025 21:32,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,,0|i0003h:,,,,10062,HAPB-1,Data Ingestion,Done,12/31/2025 21:32
Create S3 bucket and folder structure,HAPB-2,10064,Task,Done,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,Done,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:43,12/31/2025 21:36,12/31/2025 21:36,12/31/2025 21:32,,0,"!Screenshot 2025-12-28 191123.png|width=679,alt=""Screenshot 2025-12-28 191123.png""!",,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,31/Dec/25 9:36 PM;f5f86d4e-b0ec-427b-8e29-13c99bc5ec27;Screenshot 2025-12-28 191123.png;https://cohenspierre.atlassian.net/rest/api/3/attachment/content/10000,,,,0|i0003f:,,,,10062,HAPB-1,Data Ingestion,Done,12/31/2025 21:32
Data Ingestion,HAPB-1,10062,Epic,To Do,HAPB,Healthcare AWS Power BI,software,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,Medium,,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,12/28/2025 18:39,12/28/2025 18:39,12/28/2025 18:39,,,0,,,Cohens Pierre,712020:68bf01ef-1698-4c9a-8506-4813360a526a,,,,,,,,,,,,purple,0|i0001z:,,,,,,,To Do,12/28/2025 18:39
